Ref,Description,Value,Tolerance,Power_Rating,Voltage_Max,Footprint,Supplier_Suggested,Quantity,Cost_Est_EUR,Justification
MCU1,STM32G474RET6 Nucleo-64,Microcontroller,-,-,3.6V,LQFP-64,Mouser/Digikey,1,15.00,Main vehicle controller (traction/steering/safety)
MCU2,ESP32-S3-DevKitC-1 (N16R8),Microcontroller 16MB Flash 8MB PSRAM,-,-,3.3V,DevKit Module,Mouser/Digikey,1,12.00,HMI controller (display/audio/CAN/LEDs)
DRV1,BTS7960 H-Bridge Driver Module,43A dual half-bridge,-,-,27V,Module,Amazon/AliExpress,5,7.50,Motor drivers: 4× traction + 1× steering
R_DIV1,Resistor voltage divider R1,10 kΩ,±1%,0.25W,200V,0805,Mouser,1,0.05,Pedal ADC divider upper (5V→3.3V scaling); P=5²/(10k+6.8k)=1.5mW
R_DIV2,Resistor voltage divider R2,6.8 kΩ,±1%,0.25W,200V,0805,Mouser,1,0.05,Pedal ADC divider lower; Vout=5×6.8/(10+6.8)=2.02V max
C_ADC1,Ceramic capacitor ADC filter,100 nF,±10% X7R,16V,16V,0805,Murata GRM21BR71C104K,1,0.03,"ADC input filter on PA3; ESR<50mΩ; fc=1/(2π×10k×100n)≈159Hz"
D_CLAMP1,Schottky clamp diode ADC,BAT54S dual,±,-,30V,SOT-23,Mouser,1,0.10,Clamp ADC input PA3 to 0V–3.3V rails against overvoltage
R_CAN1,CAN termination resistor,120 Ω,±1%,0.25W,200V,0805,Mouser,2,0.10,CAN bus termination at each end (STM32 and ESP32 nodes)
TVS_CAN1,CAN TVS diode,PESD2CAN,±,-,24V (Vc),SOT-23,Nexperia,2,0.30,Transient suppression on CANH/CANL lines
U_CAN1,CAN Transceiver (STM32 side),SN65HVD230 or TJA1051,-,-,5V,SOIC-8,Mouser/Digikey,1,2.50,FDCAN transceiver STM32 PB8/PB9
U_CAN2,CAN Transceiver (ESP32 side),TJA1051T/3,-,-,5V,SOIC-8,Mouser/Digikey,1,2.50,TWAI transceiver ESP32 GPIO4/GPIO5
C_CAN_DEC1,CAN transceiver decoupling,100 nF + 10 µF,±10% X7R / ±20%,16V,0805+0805,Murata,4,0.20,Decoupling caps on each CAN transceiver VCC (one 100nF + one 10µF per transceiver)
R_I2C_PU1,I2C pull-up SCL,4.7 kΩ,±5%,0.125W,50V,0805,Mouser,1,0.03,"I2C1_SCL pull-up to 3.3V; I_pull=3.3/4.7k=0.7mA; adequate for 400kHz with <200pF bus"
R_I2C_PU2,I2C pull-up SDA,4.7 kΩ,±5%,0.125W,50V,0805,Mouser,1,0.03,I2C1_SDA pull-up to 3.3V; same calculation as SCL
U_MUX1,I2C multiplexer,TCA9548A,±,-,3.3V,TSSOP-24,TI/Mouser,1,3.00,8-channel I2C mux for INA226 sensors; addr 0x70
U_CURR1-5,Current sensor,INA226AIDGSR,±0.1%,-,36V,MSOP-10,TI/Mouser,6,4.00,6× INA226: CH0-3 motors (1mΩ) + CH4 battery (0.5mΩ) + CH5 steering (1mΩ)
R_SHUNT_M,Current shunt resistor (motors),1 mΩ,±1%,3W,-,2512,Vishay/Bourns,5,1.50,"Motor shunt: I_max=50A → P=50²×0.001=2.5W; 3W rated with margin"
R_SHUNT_B,Current shunt resistor (battery),0.5 mΩ,±1%,5W,-,2512 or 4-terminal,Vishay/Bourns,1,2.00,"Battery shunt: I_max=100A → P=100²×0.0005=5W; use 5W+ rated"
SENSOR_T1-5,Temperature sensor,DS18B20,±0.5°C,-,5.5V,TO-92,Maxim/Mouser,5,2.50,OneWire digital temperature sensors on PB0 bus
R_OW1,OneWire pull-up resistor,4.7 kΩ,±5%,0.125W,50V,0805,Mouser,1,0.03,OneWire bus pull-up to 3.3V on PB0
SENSOR_P1,Pedal Hall sensor,SS1324LUA-T,-,-,5V,SIP-3,Honeywell/Mouser,1,5.00,Linear Hall-effect pedal sensor (0.3V–4.8V output at 5V supply)
ENC1,Steering encoder,E6B2-CWZ6C 1200PPR,-,-,5V,Shaft mount,Omron/Mouser,1,35.00,Quadrature encoder 1200 PPR on TIM2 (PA15/PB3)
SENSOR_W1-4,Wheel speed sensor (inductive),LJ12A3-4-Z/BX NPN NO,-,-,6-36V,M12 barrel,Amazon/AliExpress,4,3.00,Inductive proximity for wheel speed; 6 pulses/rev on PA0/PA1/PA2/PB15
SENSOR_C1,Steering center sensor,LJ12A3-4-Z/BX NPN NO,-,-,6-36V,M12 barrel,Amazon/AliExpress,1,3.00,Inductive proximity on PB5 (EXTI5) for mechanical center detection
RLY1,Main power relay,SRD-12VDC-SL-C (or equiv),±,-,12V coil / 30A contact,Through-hole,Amazon,1,2.00,Main power cutoff relay on PC10
RLY2,Traction relay,SRD-12VDC-SL-C (or equiv),±,-,12V coil / 30A contact,Through-hole,Amazon,1,2.00,Traction motor power relay on PC11
RLY3,Steering relay,SRD-12VDC-SL-C (or equiv),±,-,12V coil / 30A contact,Through-hole,Amazon,1,2.00,Steering motor power relay on PC12
RLY4,Front LED relay,SRD-05VDC-SL-C (or equiv),±,-,5V coil / 10A contact,Through-hole,Amazon,1,1.50,Front WS2812B power relay on PB10
RLY5,Rear LED relay,SRD-05VDC-SL-C (or equiv),±,-,5V coil / 10A contact,Through-hole,Amazon,1,1.50,Rear WS2812B power relay on PB11
D_FW1-5,Flyback diode (relay coils),1N4007 or 1N4148,±,-,1000V/100V,DO-41/DO-35,Mouser,5,0.25,Flyback protection across each relay coil; prevents voltage spike on turnoff
Q_RLY1-5,Relay driver MOSFET/transistor,2N7000 or BC547,±,-,60V/45V,TO-92,Mouser,5,0.50,"GPIO→relay coil driver; R_gate=1kΩ to MCU pin; R_pulldown=10kΩ"
R_GATE1-5,Gate/base resistor (relay driver),1 kΩ,±5%,0.125W,50V,0805,Mouser,5,0.15,Limits gate/base current from MCU GPIO (3.3V/1k=3.3mA)
R_PD1-5,Pull-down resistor (relay driver),10 kΩ,±5%,0.125W,50V,0805,Mouser,5,0.15,Ensures relay OFF during MCU reset/boot (gate held LOW)
OPTO1-10,Optocoupler (high-speed),6N137,-,-,5V,DIP-8,Vishay/Mouser,10,1.20,"Galvanic isolation: encoder A/B/Z, steering sensors; 10 Mbps"
OPTO11-16,Optocoupler (low-speed),PC817,-,-,5V,DIP-4,Sharp/Mouser,6,0.60,"Low-speed isolation: wheel sensors, STEER_CENTER; 80 kHz adequate"
DISP1,TFT Display,ST7796 480×320 3.5 inch,-,-,3.3V,SPI module,AliExpress,1,8.00,ESP32-S3 HMI display with XPT2046 touch
LED_F1,Front LED strip,WS2812B 28-LED strip,-,-,5V,Adhesive strip,AliExpress,1,6.00,28 addressable LEDs on ESP32 GPIO47
LED_R1,Rear LED strip,WS2812B 16-LED strip,-,-,5V,Adhesive strip,AliExpress,1,4.00,16 addressable LEDs on ESP32 GPIO48
R_LED_DATA1-2,LED data series resistor,330 Ω,±5%,0.125W,50V,0805,Mouser,2,0.06,Series resistor on WS2812B data lines to limit ringing
C_LED_BULK1-2,LED strip bulk capacitor,1000 µF 10V electrolytic,±20%,-,10V,Radial,Panasonic,2,0.80,Bulk decoupling on 5V supply to each LED strip
U_AUDIO1,DFPlayer Mini,MP3 player module,-,-,5V,Module,AliExpress,1,3.00,Audio playback on ESP32 UART2 (GPIO43 TX / GPIO44 RX)
RLY_AUD1,Audio relay module,2-ch 5V optocoupled relay,-,-,5V coil,Module,Amazon,1,2.50,Speaker source switch on ESP32 GPIO11 (active LOW)
U_SHIFT1,I2C I/O expander,MCP23017,-,-,5.5V,DIP-28 or SSOP-28,Microchip/Mouser,1,2.00,Gear shifter input (5 positions on Port A); addr 0x20 on ESP32 I2C (GPIO8/9)
F1,Main fuse (24V battery),60A blade fuse,±,-,32V,Standard blade,Auto parts,1,1.00,"Battery protection: I_max_system≈100A; fuse at 1.5× = 60A slow-blow"
F2,Traction fuse,30A blade fuse,±,-,32V,Standard blade,Auto parts,4,0.80,"Per-motor fuse: I_max=25A × 1.25 = 31A → 30A"
F3,Steering fuse,20A blade fuse,±,-,32V,Standard blade,Auto parts,1,0.50,"Steering motor fuse: I_max=15A × 1.25 ≈ 20A"
F4,5V logic fuse,5A blade fuse,±,-,32V,Mini blade,Auto parts,1,0.30,5V regulator input protection
F5,12V accessories fuse,10A blade fuse,±,-,32V,Mini blade,Auto parts,1,0.30,12V relay/accessory circuit protection
WIRE_PWR,Power cable (motors),4 AWG (21 mm²) red/black,±,-,600V,Stranded copper,Auto parts,5m,3.00,Battery→fuse→relay→BTS7960 B+ power cables
WIRE_MOT,Motor cable,10 AWG (5.3 mm²) per motor,±,-,600V,Stranded copper,Auto parts,20m,8.00,BTS7960 M+/M− to each motor; short runs recommended
WIRE_SIG,Signal cable (sensors),22 AWG (0.33 mm²),±,-,300V,Stranded/solid,Mouser,20m,2.00,Wheel sensors / encoder / I2C / GPIO signals
WIRE_CAN,CAN bus cable,Twisted pair shielded 22AWG,±,-,300V,Shielded pair,Mouser,5m,4.00,"CANH/CANL twisted pair with shield grounded at one end"
CONN_CAN,CAN bus connector,JST-XH 4-pin or DB9,±,-,-,Through-hole,Mouser,4,1.00,CAN bus connectors: CANH/CANL/GND/shield
CONN_MOT,Motor power connector,XT60 or Anderson PP15/30,±,-,60V/30A,Crimp,Amazon,10,2.00,Motor power connections (plug/socket pairs)
CONN_SENS,Sensor connector,JST-XH 3-pin,±,-,-,Through-hole,Mouser,10,0.50,Sensor connections (VCC/Signal/GND)
D_POLAR1,Reverse polarity protection,P-channel MOSFET IRF9540N,±,-,100V/23A,TO-220,Mouser,1,1.50,"Battery reverse polarity protection; R_DS(on)=0.117Ω; P_loss=100A×0.117=11.7W(peak)"
C_BULK1,Input bulk capacitor,470 µF 35V electrolytic,±20%,-,35V,Radial snap-in,Panasonic,2,1.50,24V bus bulk decoupling near relay input
C_DEC_MCU1,MCU decoupling capacitor,100 nF X7R,±10%,-,50V,0805,Murata,4,0.12,One per VDD pin on STM32G474; placed within 5mm of pin
C_DEC_MCU2,MCU bulk capacitor,10 µF X5R,±20%,-,16V,0805,Murata,2,0.10,Bulk caps near MCU VDD pins (one per VDD cluster)
