ID,Tool,File,Line,Category,Severity,Classification,Description
FV-001,CBMC,Core/Src/motor_control.c,905,NaN/Float,Bajo,Falso Positivo,"NaN intermedio en suma de velocidades de ruedas — sanitize_float() aplicado al resultado final"
FV-002,CBMC,Core/Src/motor_control.c,1206,NaN/Float,Bajo,Falso Positivo,"NaN intermedio en suma de velocidades — sanitize_float() en línea siguiente"
FV-003,CBMC,Core/Src/motor_control.c,1881,Puntero,Bajo,Falso Positivo,"NULL deref en timer Instance — requiere Motor_Init() antes de uso (garantizado por secuencia de arranque)"
FV-004,CBMC,Core/Src/motor_control.c,1632,Puntero,Bajo,Falso Positivo,"NULL deref en htim2.Instance->CNT — requiere TIM2 init (garantizado por CubeMX)"
FV-005,CBMC,Core/Src/motor_control.c,714,División,Bajo,Falso Positivo,"NaN en 0.95f/tan_angle — guardado por if (tan_angle < 0.001f) return"
FV-006,CBMC,Core/Src/motor_control.c,720,División,Bajo,Falso Positivo,"División por cero half_track/R — R derivado de tan_angle >= 0.001f, nunca cero"
FV-007,CBMC,Core/Src/eps_params.c,83,Puntero,Bajo,Falso Positivo,"Deref puntero flash en eps_slot_valid — dirección hardware válida (0x0807F800)"
FV-008,CBMC,Core/Src/error_log.c,78,Puntero,Bajo,Falso Positivo,"Deref puntero flash en errlog_header_valid — dirección hardware válida"
FV-009,CBMC,Core/Src/steering_centering.c,183,Puntero,Bajo,Falso Positivo,"NULL deref htim2.Instance->CNT — requiere init antes de SteeringCentering_Step"
FV-010,CBMC,Core/Src/sensor_manager.c,495,Herramienta,Bajo,Falso Positivo,"Loop unwind en OW_DelayUs — límite de despliegue de la herramienta"
FV-011,Infer,Core/Src/eps_params.c,200,Overflow,Bajo,Falso Positivo,"INTEGER_OVERFLOW_L1 en eps_sequence-- — siempre >= 1 tras incremento en línea 163"
FV-012,Infer,esp32/src/sensors/obstacle_sensor.cpp,229,Overflow,Bajo,Falso Positivo,"INTEGER_OVERFLOW_L2 en maxDistMm - minDistMm — minDistMm <= maxDistMm garantizado por tracking min/max"
