=== lizard ===
Core/Src/drive_tuning_store.c:176: warning: DriveTuningStore_Save has 65 NLOC, 18 CCN, 407 token, 1 PARAM, 82 length
Core/Src/gear_limits_store.c:231: warning: GearLimitsStore_Save has 73 NLOC, 19 CCN, 421 token, 6 PARAM, 102 length
Core/Src/eps_params.c:211: warning: EPS_Params_Save has 75 NLOC, 17 CCN, 468 token, 1 PARAM, 140 length
Core/Src/battery_limits_store.c:108: warning: BatteryLimitsStore_Validate has 16 NLOC, 18 CCN, 171 token, 1 PARAM, 22 length
Core/Src/battery_limits_store.c:167: warning: BatteryLimitsStore_Save has 63 NLOC, 17 CCN, 391 token, 1 PARAM, 78 length
Core/Src/test_battery_limits.c:54: warning: test_validate has 15 NLOC, 17 CCN, 163 token, 1 PARAM, 17 length
Core/Src/motor_control.c:907: warning: Traction_SetDemand has 108 NLOC, 27 CCN, 735 token, 1 PARAM, 161 length
Core/Src/motor_control.c:1269: warning: Traction_Update has 425 NLOC, 128 CCN, 3252 token, 1 PARAM, 733 length
Core/Src/motor_control.c:2093: warning: Steering_ControlLoop has 101 NLOC, 30 CCN, 836 token, 1 PARAM, 166 length
Core/Src/steering_centering.c:193: warning: SteeringCentering_Step has 70 NLOC, 17 CCN, 280 token, 1 PARAM, 115 length
Core/Src/main.c:158: warning: main has 317 NLOC, 58 CCN, 1691 token, 1 PARAM, 697 length
Core/Src/sensor_manager.c:240: warning: Wheel_ComputeSpeed has 78 NLOC, 20 CCN, 587 token, 1 PARAM, 121 length
Core/Src/safety_system.c:529: warning: Safety_SetState has 74 NLOC, 29 CCN, 286 token, 1 PARAM, 118 length
Core/Src/safety_system.c:1477: warning: TCS_Update has 69 NLOC, 18 CCN, 518 token, 1 PARAM, 102 length
Core/Src/safety_system.c:1595: warning: Safety_CheckCurrent has 39 NLOC, 16 CCN, 214 token, 1 PARAM, 60 length
Core/Src/safety_system.c:1665: warning: Safety_CheckTemperature has 44 NLOC, 17 CCN, 258 token, 1 PARAM, 65 length
Core/Src/safety_system.c:1733: warning: Safety_CheckCANTimeout has 70 NLOC, 28 CCN, 328 token, 1 PARAM, 142 length
Core/Src/safety_system.c:1884: warning: Safety_CheckSensors has 207 NLOC, 88 CCN, 1525 token, 1 PARAM, 365 length
Core/Src/safety_system.c:2334: warning: Safety_CheckBatteryVoltage has 99 NLOC, 30 CCN, 517 token, 1 PARAM, 190 length
Core/Src/safety_system.c:2630: warning: Safety_CheckRelayHealth has 113 NLOC, 35 CCN, 572 token, 1 PARAM, 264 length
